"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Philippines"	171	"Asparagus"	367	"Production (tonnes)"	51	22500	"F "
"Philippines"	171	"Avocados"	572	"Production (tonnes)"	51	26500	"F "
"Philippines"	171	"Bananas"	486	"Production (tonnes)"	51	7000000	"F "
"Poland"	173	"Apples"	515	"Production (tonnes)"	51	1039100	"P "
"Poland"	173	"Apricots"	526	"Production (tonnes)"	51	1100	"P "
"Poland"	173	"Barley"	44	"Production (tonnes)"	51	4065800	"  "
"Portugal"	174	"Apples"	515	"Production (tonnes)"	51	198200	"  "
"Portugal"	174	"Apricots"	526	"Production (tonnes)"	51	4900	"F "
"Portugal"	174	"Avocados"	572	"Production (tonnes)"	51	16000	"F "
"Portugal"	174	"Bananas"	486	"Production (tonnes)"	51	34000	"F "
"Portugal"	174	"Barley"	44	"Production (tonnes)"	51	73900	"  "
"Puerto Rico"	177	"Avocados"	572	"Production (tonnes)"	51	1900	"F "
"Puerto Rico"	177	"Bananas"	486	"Production (tonnes)"	51	53500	"F "
"Qatar"	179	"Barley"	44	"Production (tonnes)"	51	5000	"F "
"Réunion"	182	"Apples"	515	"Production (tonnes)"	51	120	"F "
"Réunion"	182	"Artichokes"	366	"Production (tonnes)"	51	300	"F "
"Réunion"	182	"Asparagus"	367	"Production (tonnes)"	51	100	"F "
"Réunion"	182	"Avocados"	572	"Production (tonnes)"	51	180	"F "
"Réunion"	182	"Bananas"	486	"Production (tonnes)"	51	9000	"F "
"Romania"	183	"Apples"	515	"Production (tonnes)"	51	374799	"  "
"Romania"	183	"Apricots"	526	"Production (tonnes)"	51	5931	"  "
"Romania"	183	"Barley"	44	"Production (tonnes)"	51	503689	"  "
"Russian Federation"	185	"Apples"	515	"Production (tonnes)"	51	2211000	"F "
"Russian Federation"	185	"Apricots"	526	"Production (tonnes)"	51	52000	"F "
"Russian Federation"	185	"Barley"	44	"Production (tonnes)"	51	15663110	"  "
"Saint Lucia"	189	"Avocados"	572	"Production (tonnes)"	51	280	"F "
"Saint Lucia"	189	"Bananas"	486	"Production (tonnes)"	51	34000	"F "
"Saint Vincent and Grenadines"	191	"Apples"	515	"Production (tonnes)"	51	1300	"F "
"Saint Vincent and Grenadines"	191	"Bananas"	486	"Production (tonnes)"	51	51000	"F "
"Samoa"	244	"Avocados"	572	"Production (tonnes)"	51	1150	"F "
"Samoa"	244	"Bananas"	486	"Production (tonnes)"	51	23000	"F "
"Sao Tome and Principe"	193	"Bananas"	486	"Production (tonnes)"	51	27000	"F "
"Saudi Arabia"	194	"Barley"	44	"Production (tonnes)"	51	47000	"F "
"Senegal"	195	"Bananas"	486	"Production (tonnes)"	51	34000	"F "
"Serbia"	272	"Apples"	515	"Production (tonnes)"	51	245228	"  "
"Serbia"	272	"Apricots"	526	"Production (tonnes)"	51	22952	"  "
"Serbia"	272	"Barley"	44	"Production (tonnes)"	51	258998	"  "
"Seychelles"	196	"Avocados"	572	"Production (tonnes)"	51	15	"F "
"Seychelles"	196	"Bananas"	486	"Production (tonnes)"	51	2000	"F "
"Slovakia"	199	"Apples"	515	"Production (tonnes)"	51	18000	"  "
"Slovakia"	199	"Apricots"	526	"Production (tonnes)"	51	300	"  "
"Slovakia"	199	"Asparagus"	367	"Production (tonnes)"	51	1200	"F "
"Slovakia"	199	"Barley"	44	"Production (tonnes)"	51	695042	"  "
"Slovenia"	198	"Apples"	515	"Production (tonnes)"	51	114490	"  "
"Slovenia"	198	"Apricots"	526	"Production (tonnes)"	51	483	"  "
"Slovenia"	198	"Barley"	44	"Production (tonnes)"	51	67904	"  "
"Solomon Islands"	25	"Bananas"	486	"Production (tonnes)"	51	330	"F "
"Somalia"	201	"Bananas"	486	"Production (tonnes)"	51	38000	"F "
"South Africa"	202	"Apples"	515	"Production (tonnes)"	51	650000	"F "
"South Africa"	202	"Apricots"	526	"Production (tonnes)"	51	85000	"F "
"South Africa"	202	"Asparagus"	367	"Production (tonnes)"	51	450	"F "
"South Africa"	202	"Avocados"	572	"Production (tonnes)"	51	65000	"F "
"South Africa"	202	"Bananas"	486	"Production (tonnes)"	51	345000	"F "
"South Africa"	202	"Barley"	44	"Production (tonnes)"	51	199874	"  "
"Spain"	203	"Apples"	515	"Production (tonnes)"	51	672400	"  "
"Spain"	203	"Apricots"	526	"Production (tonnes)"	51	87100	"  "
"Spain"	203	"Artichokes"	366	"Production (tonnes)"	51	215000	"F "
"Spain"	203	"Asparagus"	367	"Production (tonnes)"	51	36000	"  "
"Spain"	203	"Avocados"	572	"Production (tonnes)"	51	85000	"F "
"Spain"	203	"Bananas"	486	"Production (tonnes)"	51	365200	"  "
"Spain"	203	"Barley"	44	"Production (tonnes)"	51	11684000	"  "
"Sri Lanka"	38	"Arecanuts"	226	"Production (tonnes)"	51	25870	"  "
"Sudan"	206	"Bananas"	486	"Production (tonnes)"	51	74000	"F "
"Suriname"	207	"Bananas"	486	"Production (tonnes)"	51	44000	"F "
"Swaziland"	209	"Avocados"	572	"Production (tonnes)"	51	300	"F "
"Swaziland"	209	"Bananas"	486	"Production (tonnes)"	51	500	"F "
"Sweden"	210	"Apples"	515	"Production (tonnes)"	51	20100	"  "
"Sweden"	210	"Barley"	44	"Production (tonnes)"	51	1439000	"  "
"Switzerland"	211	"Apples"	515	"Production (tonnes)"	51	250000	"F "
"Switzerland"	211	"Apricots"	526	"Production (tonnes)"	51	7500	"F "
"Switzerland"	211	"Artichokes"	366	"Production (tonnes)"	51	10	"F "
"Switzerland"	211	"Asparagus"	367	"Production (tonnes)"	51	230	"F "
"Switzerland"	211	"Barley"	44	"Production (tonnes)"	51	218100	"  "
"Syrian Arab Republic"	212	"Apples"	515	"Production (tonnes)"	51	365000	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Production (tonnes)"	51	87000	"F "
"Syrian Arab Republic"	212	"Artichokes"	366	"Production (tonnes)"	51	6200	"F "
"Syrian Arab Republic"	212	"Bananas"	486	"Production (tonnes)"	51	800	"F "
"Syrian Arab Republic"	212	"Barley"	44	"Production (tonnes)"	51	730000	"F "
"Tajikistan"	208	"Apples"	515	"Production (tonnes)"	51	85000	"F "
"Tajikistan"	208	"Apricots"	526	"Production (tonnes)"	51	31000	"F "
"Tajikistan"	208	"Barley"	44	"Production (tonnes)"	51	62500	"F "
"Tanzania, United Republic of"	215	"Bananas"	486	"Production (tonnes)"	51	150000	"F "
"Tanzania, United Republic of"	215	"Barley"	44	"Production (tonnes)"	51	4500	"F "
"Thailand"	216	"Arecanuts"	226	"Production (tonnes)"	51	27000	"F "
"Thailand"	216	"Asparagus"	367	"Production (tonnes)"	51	13000	"F "
"Thailand"	216	"Bananas"	486	"Production (tonnes)"	51	2000000	"F "
"Thailand"	216	"Barley"	44	"Production (tonnes)"	51	18000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apples"	515	"Production (tonnes)"	51	78000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Production (tonnes)"	51	3000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Barley"	44	"Production (tonnes)"	51	83200	"  "
"Timor-Leste"	176	"Avocados"	572	"Production (tonnes)"	51	370	"F "
"Timor-Leste"	176	"Bananas"	486	"Production (tonnes)"	51	2000	"F "
"Togo"	217	"Bananas"	486	"Production (tonnes)"	51	19000	"F "
"Tokelau"	218	"Bananas"	486	"Production (tonnes)"	51	15	"F "
"Tonga"	219	"Bananas"	486	"Production (tonnes)"	51	840	"F "
"Trinidad and Tobago"	220	"Avocados"	572	"Production (tonnes)"	51	460	"F "
"Trinidad and Tobago"	220	"Bananas"	486	"Production (tonnes)"	51	7000	"F "
"Tunisia"	222	"Apples"	515	"Production (tonnes)"	51	102000	"  "
"Tunisia"	222	"Apricots"	526	"Production (tonnes)"	51	24000	"  "
"Tunisia"	222	"Artichokes"	366	"Production (tonnes)"	51	19000	"  "
"Tunisia"	222	"Asparagus"	367	"Production (tonnes)"	51	150	"F "
"Tunisia"	222	"Avocados"	572	"Production (tonnes)"	51	230	"F "
"Tunisia"	222	"Barley"	44	"Production (tonnes)"	51	535100	"  "
"Turkey"	223	"Apples"	515	"Production (tonnes)"	51	2266437	"  "
"Turkey"	223	"Apricots"	526	"Production (tonnes)"	51	528295	"  "
"Turkey"	223	"Artichokes"	366	"Production (tonnes)"	51	34465	"  "
"Turkey"	223	"Asparagus"	367	"Production (tonnes)"	51	11	"  "
"Turkey"	223	"Avocados"	572	"Production (tonnes)"	51	524	"  "
"Turkey"	223	"Bananas"	486	"Production (tonnes)"	51	186588	"  "
"Turkey"	223	"Barley"	44	"Production (tonnes)"	51	7423000	"  "
"Turkmenistan"	213	"Apples"	515	"Production (tonnes)"	51	39600	"F "
"Turkmenistan"	213	"Apricots"	526	"Production (tonnes)"	51	21400	"F "
"Turkmenistan"	213	"Barley"	44	"Production (tonnes)"	51	58700	"F "
"Tuvalu"	227	"Bananas"	486	"Production (tonnes)"	51	280	"F "
"Uganda"	226	"Bananas"	486	"Production (tonnes)"	51	615000	"F "
"Ukraine"	230	"Apples"	515	"Production (tonnes)"	51	707000	"F "
"Ukraine"	230	"Apricots"	526	"Production (tonnes)"	51	36900	"F "
"Ukraine"	230	"Barley"	44	"Production (tonnes)"	51	6000000	"  "
"United Arab Emirates"	225	"Bananas"	486	"Production (tonnes)"	51	200	"F "
"United Kingdom"	229	"Apples"	515	"Production (tonnes)"	51	230000	"F "
"United Kingdom"	229	"Asparagus"	367	"Production (tonnes)"	51	3000	"  "
"United Kingdom"	229	"Barley"	44	"Production (tonnes)"	51	5149000	"  "
"United States of America"	231	"Apples"	515	"Production (tonnes)"	51	4237730	"  "
"United States of America"	231	"Apricots"	526	"Production (tonnes)"	51	80070	"  "
"United States of America"	231	"Artichokes"	366	"Production (tonnes)"	51	40910	"  "
"United States of America"	231	"Asparagus"	367	"Production (tonnes)"	51	50620	"  "
"United States of America"	231	"Avocados"	572	"Production (tonnes)"	51	250000	"F "
"United States of America"	231	"Bananas"	486	"Production (tonnes)"	51	8940	"  "
"United States of America"	231	"Barley"	44	"Production (tonnes)"	51	4611940	"  "
"Uruguay"	234	"Apples"	515	"Production (tonnes)"	51	66874	"  "
"Uruguay"	234	"Barley"	44	"Production (tonnes)"	51	435000	"F "
